ceref,firm,domain,pattern,evidence
AAA523,"Hongkong and Shanghai Banking Corporation Limited, The",hongkongcapital.com,{first}.{last},"The most common HK Capital Group email format is [first].[last] (ex. jane.doe@hkcapitalgrp.com), which is being used by 40.0% of HK Capital Group work email ..."
AAA621,Chong Hing Bank Limited,chbank.com,{first}.{last},"The most common Chong Hing Bank Limited email format is [first].[last] (ex. jane.doe@chbank.com), which is being used by 40.0% of Chong Hing Bank Limited ..."
AAA635,FB Securities (Hong Kong) Limited,fubonbank.com.hk,{first}.{last},"Fubon Bank (Hong Kong)'s most common email format is john.doe@fubon.com. Find ... fubonbank.com.hk. NAICS, 521. SIC, 602. Employees, 1001-2000. Socials. About ..."
AAB444,Amundi Hong Kong Limited,amundi.com,{first}.{last},"The most common Amundi Asset Management email format is [first].[last] (ex. jane.doe@amundi.com), which is being used by 68.3% of Amundi Asset Management ..."
AAB499,Yunfeng Financial Markets Limited,yff.com,{first}.{last},"Yunfeng Financial Group uses 2 email formats. The most common is {first name}.{last name} (e.g., john.doe@yff.com), used ..."
AAB639,Daiwa Capital Markets Hong Kong Limited,hk.daiwacm.com,{first}.{last},"Daiwa Capital Markets Hong Kong Limited uses 2 email formats. The most common is {first name}.{last name} (e.g., john.doe@hk.daiwacm.com) ..."
AAB893,CLSA Limited,clsa.com,{first}.{last},"The most common CLSA email format is [first].[last] (ex. jane.doe@clsa.com), which is being used by 70.9% of CLSA work email addresses."
AAC257,Barclays Capital Asia Limited,barclays.com,{first}.{last},"The most common Barclays email format is [first].[last] (ex. jane.doe@barclays.com), which is being used by 96.6% of Barclays work email addresses."
AAC352,Merrill Lynch Far East Limited,bankofamerica.com,{first}.{last},"The most accurate and popular Bank of America Home Loans's email format is First.Last@bofa.com (ex. ... FLast@bankofamerica.com, JDoe@bankofamerica.com. 1%. First ..."
AAC801,LGT Investment Management (Asia) Limited,lgt.com,{first}.{last},"The most common LGT Private Banking email format is [first].[last] (ex. jane.doe@lgt.com), which is being used by 56.9% of LGT Private Banking work email ..."
AAD350,"Anglo Chinese Corporate Finance, Limited",anglochinesegroup.com,{f}{last},"The most common Anglo Chinese Corporate Finance, Limited email format is [first_initial][last] (ex. jdoe@anglochinesegroup.com), which is being used by 61.8 ..."
AAD365,"Anglo Chinese Securities, Limited",anglochinesegroup.com,{f}{last},"The most common Anglo Chinese Corporate Finance, Limited email format is [first_initial][last] (ex. jdoe@anglochinesegroup.com), which is being used by 61.8 ..."
AAE074,Okasan International (Asia) Limited,okasan.jp,{first}.{last},"The most common （株）岡三証券グループ email format is [first].[last] (ex. jane.doe@okasan.jp), which is being used by 40.0% of （株）岡三証券グループ work ..."
AAE430,DBS Asia Capital Limited,dbs.com,{first}{last},"The most common DBS Bank email format is [first][last] (ex. janedoe@dbs.com), which is being used by 80.9% of DBS Bank work email addresses."
AAE879,CITIC Securities Brokerage (HK) Limited,citics.com.hk,{first}{last},"The most common CITIC Securities International email format is [first][last] (ex. janedoe@citics.com.hk), which is being used by 58.7% of CITIC Securities ..."
AAF261,CMB International Global Markets Limited,cmbi.com.hk,{first}{last},CMB International's email format typically follows the pattern of FirstLast@cmbi.com.hk; this email format is used 63% of the time. Other contacts within ...
AAF351,Nomura Asset Management Hong Kong Limited,nomura-am.co.jp,{first}.{last},"Email Format, Example, Percentage. [first].[last], jane.doe@nomura.com. 71.7 ... nomura-am.co.jp; macquarie.com. 5+. +973 3943 XXXX; +971 56 115 XXXX; +973 1753 ..."
AAF432,Fosun International Securities Limited,fosunwealth.com,{first}.{last},"The most common Fosun Wealth email format is [first].[last] (ex. jane.doe@fosunwealth.com), which is being used by 100.0% of Fosun Wealth work email ..."
AAF742,Nomura International (Hong Kong) Limited,nomura.com,{first}.{last},"The most common Nomura email format is [first].[last] (ex. jane.doe@nomura.com), which is being used by 70.5% of Nomura work email addresses."
AAG391,Asia Pacific Investment Advisors Limited,apg-hk.com,{first}.{last},"The most common Asia Pacific Group email format is [first].[last] (ex. jane.doe@apg-hk.com), which is being used by 56.9% of Asia Pacific Group work email ..."
AAG627,Lazard Asia (Hong Kong) Limited,lazard.com,{first}.{last},"The most common Lazard email format is [first].[last] (ex. jane.doe@lazard.com), which is being used by 78.3% of Lazard work email addresses."
